Date,TS1_S369,TS2_S372,TS3_S391,TS4_S426,TS5_S21642
1/14/2002,700.68,2969.34,989.88,1490.88,1967.61
1/30/2002,718.77,2950.22,1063.65,1488.99,1773.48
2/14/2002,728.17,3061.26,1162.98,1477.25,1525.00
2/27/2002,742.72,3121.68,1211.96,1455.58,1283.22
3/14/2002,775.76,3177.77,1244.69,1438.09,1168.36
3/30/2002,821.75,3366.34,1238.55,1441.64,1510.76
4/14/2002,850.14,3489.51,1295.51,1438.83,1618.50
4/29/2002,807.35,3406.79,1320.36,1462.87,1827.29
5/14/2002,799.87,3205.48,1441.54,1491.67,2661.45
5/30/2002,790.11,3206.81,1643.77,1533.84,3009.82
6/14/2002,802.82,3189.67,1668.38,1576.59,2982.37
6/29/2002,771.55,2977.75,1606.41,1522.82,2803.05
7/14/2002,731.13,2901.16,1530.26,1520.20,2480.66
7/30/2002,707.87,2867.29,1476.44,1504.02,2101.48
8/14/2002,700.68,2755.33,1415.35,1446.53,1796.70
8/30/2002,677.82,2734.36,1336.95,1394.96,1550.34
9/14/2002,704.80,2787.13,1310.76,1367.23,1325.07
9/29/2002,762.14,2882.37,1344.70,1335.45,1186.68
10/14/2002,748.82,2907.44,1409.23,1336.08,1063.23
10/30/2002,773.35,2925.15,1420.90,1380.27,957.66
11/14/2002,737.53,2808.81,1497.56,1380.27,1232.13
11/29/2002,739.33,2808.65,1440.19,1385.81,1646.84
12/14/2002,705.66,2688.03,1390.32,1350.91,1825.45
12/30/2002,688.15,2597.18,1491.97,1325.50,2019.29
1/14/2003,720.39,2641.40,1576.17,1376.86,2159.88
1/30/2003,741.60,2683.22,1644.75,1405.81,2093.10
2/14/2003,752.26,2782.87,1693.24,1401.78,1852.41
2/27/2003,791.00,2931.57,1693.43,1391.70,1587.34
3/14/2003,805.91,3068.69,1673.49,1366.44,1254.47
3/30/2003,789.87,3116.76,1545.42,1336.63,942.77
4/14/2003,815.57,3286.03,1471.96,1353.18,767.56
4/29/2003,802.22,3207.13,1535.18,1413.46,861.66
5/14/2003,828.33,3125.98,1629.05,1567.25,1948.47
5/30/2003,831.21,3091.00,1796.83,1698.88,2572.56
6/14/2003,785.09,3039.41,1799.17,1725.13,2612.11
6/29/2003,768.17,2984.77,1736.18,1708.93,2530.25
7/14/2003,755.91,2856.57,1694.71,1661.25,2287.46
7/30/2003,738.55,2731.94,1706.22,1609.21,1962.31
8/14/2003,705.67,2502.15,1628.96,1590.73,1650.54
8/30/2003,688.54,2321.31,1539.88,1576.96,1324.40
9/14/2003,681.95,2297.86,1515.21,1625.22,1057.57
9/29/2003,673.07,2366.82,1491.41,1673.11,834.53
10/14/2003,682.94,2658.00,1434.40,1679.93,667.39
10/30/2003,681.03,2944.76,1402.55,1632.43,702.26
11/14/2003,667.68,2938.85,1332.70,1560.54,1171.56
11/29/2003,660.81,2882.35,1200.65,1509.45,2045.16
12/14/2003,654.15,2843.63,1171.25,1454.13,2529.43
12/30/2003,659.86,2842.23,1264.02,1518.51,2754.06
1/14/2004,650.95,2774.09,1307.95,1547.45,2646.10
1/30/2004,678.68,2821.41,1447.71,1565.79,2525.31
2/14/2004,674.91,2945.42,1564.00,1601.32,2307.76
2/27/2004,699.21,3067.95,1689.33,1602.25,2027.75
3/14/2004,743.06,3250.11,1771.81,1601.12,1613.45
3/30/2004,793.27,3454.16,1718.34,1600.98,1232.20
4/14/2004,768.84,3452.88,1672.11,1615.38,1102.77
4/29/2004,848.84,3476.75,1778.57,1740.12,1422.50
5/14/2004,859.10,3434.40,1871.61,1804.77,1504.29
5/30/2004,835.25,3428.95,1964.69,1875.21,1447.39
6/14/2004,808.17,3305.80,1909.07,1871.98,1301.59
6/29/2004,778.46,3206.18,1897.14,1819.95,1079.42
7/14/2004,744.95,3021.74,1820.47,1766.01,869.02
7/30/2004,714.47,2808.06,1725.54,1695.42,665.52
8/14/2004,684.72,2613.33,1617.12,1651.16,504.26
8/30/2004,671.00,2518.17,1529.68,1615.21,364.67
9/14/2004,692.36,2515.87,1465.61,1599.56,259.84
9/29/2004,687.91,2577.79,1392.04,1571.15,186.52
10/14/2004,730.38,2852.03,1404.89,1563.48,138.43
10/30/2004,719.95,2923.72,1377.07,1518.96,232.07
11/14/2004,716.53,3012.15,1446.16,1522.70,373.41
11/29/2004,712.97,2979.11,1389.59,1532.10,755.09
12/14/2004,691.68,2880.88,1349.95,1565.03,1270.51
